block_definition,metric,subgroup,family,case_a,case_b,n_blocks,wilcoxon_statistic,p_value,median_delta_a_minus_b,mean_delta_a_minus_b,a_better_rate,b_better_rate,p_holm,significant_holm_0.05,p_label_holm
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,NR,RN,32,201.0,0.24621350597590208,0.004798006718267599,0.08048838855793376,0.40625,0.59375,0.7603777516633272,False,ns
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,NR,RR,32,193.0,0.1900944379158318,0.0014767076430093617,0.07635773484954037,0.40625,0.59375,0.7603777516633272,False,ns
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,RN,RR,32,230.0,0.5360624515451491,0.0011026736994143999,-0.004130653708393357,0.40625,0.59375,0.7603777516633272,False,ns
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,NN,NR,16,41.0,0.17535400390625,-0.001765210964291608,-0.017069717234315922,0.625,0.375,0.7952880859375,False,ns
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,NN,RN,16,54.0,0.49542236328125,-1.3243848131450076e-05,-0.005130235829123087,0.5,0.5,0.7952880859375,False,ns
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,NN,RR,16,29.0,0.0443115234375,-0.0035234281759790043,-0.025534083712523095,0.6875,0.3125,0.265869140625,False,ns
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,NR,RN,16,48.0,0.322509765625,0.00045650277683298435,0.011939481405192832,0.4375,0.5625,0.7952880859375,False,ns
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,NR,RR,16,45.0,0.252227783203125,-0.00012344295294131058,-0.00846436647820718,0.5625,0.4375,0.7952880859375,False,ns
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,RN,RR,16,40.0,0.1590576171875,-0.001765286785156417,-0.020403847883400016,0.625,0.375,0.7952880859375,False,ns
model+dataset+seq_len+pred_len,mae,ALL,shallow_ltsf,NN,NR,80,1450.0,0.414861224887195,-0.0003628248032908066,-0.007179686634137458,0.5125,0.4875,1.0,False,ns
